TaxNodeID	TaxName	TotalReads	Duplicity	MeanDust	Damage+1	Damage-1	MeanLength	ANI	AvgReadGC	AvgRefGC	UniqueKmers	RatioDupKmers	TotalAlignments	PMDsover2	PMDSover4	taxpath
14525	"p__Pseudomonadota"	162741	1.162	2.29	0.0501	0.0266	61.22	0.9703	0.608	0.616	4654321	0.139	252953	0.166	0.04	"14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
14526	"c__Gammaproteobacteria"	135588	1.195	2.26	0.0555	0.0295	60.35	0.9682	0.601	0.61	3671637	0.163	223552	0.184	0.045	"14526:c__Gammaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
137197	"o__Burkholderiales"	119202	1.207	2.25	0.0566	0.03	60.38	0.9677	0.605	0.615	3198628	0.171	202159	0.189	0.047	"137197:o__Burkholderiales:order;14526:c__Gammaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
233990	"f__Burkholderiaceae_B"	66589	1.211	2.3	0.0556	0.0295	60.23	0.9677	0.618	0.63	1772003	0.174	114318	0.193	0.05	"233990:f__Burkholderiaceae_B:family;137197:o__Burkholderiales:order;14526:c__Gammaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
173790	"p__Bacteroidota"	31935	1.105	2.51	0.0355	0.0266	62.77	0.9731	0.395	0.394	1004701	0.095	45794	0.148	0.029	"173790:p__Bacteroidota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
173791	"c__Bacteroidia"	31447	1.102	2.52	0.0351	0.026	62.88	0.9732	0.393	0.393	995031	0.093	44892	0.147	0.029	"173791:c__Bacteroidia:class;173790:p__Bacteroidota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
87	"p__Thermoproteota"	31069	2.079	2.99	0.112	0.0599	84.03	0.9603	0.334	0.335	837231	0.519	88017	0.35	0.126	"87:p__Thermoproteota:phylum;2:d__Archaea:superkingdom;1:root:no rank"
211	"o__Nitrososphaerales"	31062	2.079	2.99	0.112	0.0599	84.03	0.9603	0.334	0.335	837147	0.519	88010	0.35	0.126	"211:o__Nitrososphaerales:order;210:c__Nitrososphaeria:class;87:p__Thermoproteota:phylum;2:d__Archaea:superkingdom;1:root:no rank"
210	"c__Nitrososphaeria"	31062	2.079	2.99	0.112	0.0599	84.03	0.9603	0.334	0.335	837147	0.519	88010	0.35	0.126	"210:c__Nitrososphaeria:class;87:p__Thermoproteota:phylum;2:d__Archaea:superkingdom;1:root:no rank"
212	"f__Nitrosopumilaceae"	31045	2.081	2.99	0.1121	0.06	84.05	0.9603	0.334	0.335	836377	0.519	87982	0.35	0.126	"212:f__Nitrosopumilaceae:family;211:o__Nitrososphaerales:order;210:c__Nitrososphaeria:class;87:p__Thermoproteota:phylum;2:d__Archaea:superkingdom;1:root:no rank"
1802	"g__Nitrosarchaeum"	30391	2.084	3.0	0.1133	0.0602	84.46	0.9603	0.334	0.335	823375	0.52	87099	0.352	0.127	"1802:g__Nitrosarchaeum:genus;212:f__Nitrosopumilaceae:family;211:o__Nitrososphaerales:order;210:c__Nitrososphaeria:class;87:p__Thermoproteota:phylum;2:d__Archaea:superkingdom;1:root:no rank"
101055	"p__Actinomycetota"	27906	1.078	2.31	0.0369	0.0234	58.7	0.9718	0.64	0.645	794934	0.072	46051	0.115	0.021	"101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
159315	"c__Alphaproteobacteria"	27106	1.03	2.43	0.0227	0.0114	65.59	0.9807	0.642	0.646	989361	0.029	29352	0.077	0.015	"159315:c__Alphaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
