TaxNodeID	TaxName	TotalReads	Duplicity	MeanDust	Damage+1	Damage-1	MeanLength	ANI	AvgReadGC	AvgRefGC	UniqueKmers	RatioDupKmers	TotalAlignments	taxpath
14525	"p__Pseudomonadota"	1830	1.01	2.35	0.0103	0.0112	57.5	0.9761	0.615	0.624	53574	0.008	16320	"14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
159315	"c__Alphaproteobacteria"	1186	1.01	2.37	0.0086	0.0136	59.32	0.976	0.638	0.644	36817	0.009	10134	"159315:c__Alphaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
161314	"o__Rhizobiales"	620	1.0	2.21	0.0132	0.0135	57.63	0.9726	0.624	0.63	18294	0.004	6500	"161314:o__Rhizobiales:order;159315:c__Alphaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
14526	"c__Gammaproteobacteria"	604	1.01	2.3	0.0141	0.0069	54.18	0.9763	0.569	0.579	15677	0.009	3992	"14526:c__Gammaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
227325	"f__Xanthobacteraceae"	471	1.0	2.19	0.0118	0.0125	57.97	0.9721	0.621	0.628	14078	0.003	4925	"227325:f__Xanthobacteraceae:family;161314:o__Rhizobiales:order;159315:c__Alphaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
101055	"p__Actinomycetota"	439	1.0	2.34	0.0058	0.0089	58.44	0.9844	0.651	0.655	13356	0.001	3173	"101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
101056	"c__Actinomycetia"	429	0.99	2.35	0.0059	0.0091	58.69	0.9846	0.652	0.655	13233	0	2752	"101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
173791	"c__Bacteroidia"	405	1.0	2.16	0.0174	0.0014	49.27	0.9867	0.425	0.43	8620	0	718	"173791:c__Bacteroidia:class;173790:p__Bacteroidota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
173790	"p__Bacteroidota"	405	1.0	2.16	0.0174	0.0014	49.27	0.9867	0.425	0.43	8620	0	718	"173790:p__Bacteroidota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
223508	"f__Sphingomonadaceae"	374	1.01	2.56	0.0034	0.0211	61.71	0.978	0.651	0.657	12502	0.008	1513	"223508:f__Sphingomonadaceae:family;223507:o__Sphingomonadales:order;159315:c__Alphaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
223507	"o__Sphingomonadales"	374	1.01	2.56	0.0034	0.0211	61.71	0.978	0.651	0.657	12502	0.008	1513	"223507:o__Sphingomonadales:order;159315:c__Alphaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
227326	"g__Bradyrhizobium"	345	1.0	2.23	0.0159	0.0143	58.53	0.9717	0.625	0.633	10545	0	3339	"227326:g__Bradyrhizobium:genus;227325:f__Xanthobacteraceae:family;161314:o__Rhizobiales:order;159315:c__Alphaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
223509	"g__Sphingomonas"	282	1.0	2.59	0.0	0.0273	63.01	0.9776	0.653	0.659	9834	0.004	575	"223509:g__Sphingomonas:genus;223508:f__Sphingomonadaceae:family;223507:o__Sphingomonadales:order;159315:c__Alphaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
137197	"o__Burkholderiales"	253	1.01	2.35	0.0058	0.0115	53.8	0.974	0.628	0.629	6476	0.008	1873	"137197:o__Burkholderiales:order;14526:c__Gammaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
108193	"o__Pseudomonadales"	190	1.0	2.25	0.0146	0.0071	53.81	0.9798	0.489	0.503	4901	0.001	967	"108193:o__Pseudomonadales:order;14526:c__Gammaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
257280	"o__Chitinophagales"	162	1.0	2.25	0.0204	0.0	47.84	0.9889	0.394	0.395	3226	0	201	"257280:o__Chitinophagales:order;173791:c__Bacteroidia:class;173790:p__Bacteroidota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
257281	"f__Chitinophagaceae"	160	1.0	2.26	0.0204	0.0	47.52	0.9891	0.393	0.391	3133	0	195	"257281:f__Chitinophagaceae:family;257280:o__Chitinophagales:order;173791:c__Bacteroidia:class;173790:p__Bacteroidota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
235547	"f__Sphingobacteriaceae"	157	1.0	2.03	0.0227	0.0	50.25	0.9886	0.449	0.454	3488	0.002	238	"235547:f__Sphingobacteriaceae:family;235546:o__Sphingobacteriales:order;173791:c__Bacteroidia:class;173790:p__Bacteroidota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
235546	"o__Sphingobacteriales"	157	1.0	2.03	0.0227	0.0	50.25	0.9886	0.449	0.454	3488	0.002	238	"235546:o__Sphingobacteriales:order;173791:c__Bacteroidia:class;173790:p__Bacteroidota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
171647	"o__Actinomycetales"	155	1.0	2.52	0.0137	0.0134	59.57	0.9837	0.673	0.678	4892	0.0	711	"171647:o__Actinomycetales:order;101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
233990	"f__Burkholderiaceae_B"	154	0.99	2.41	0.0	0.0	53.05	0.9719	0.659	0.663	3880	0	820	"233990:f__Burkholderiaceae_B:family;137197:o__Burkholderiales:order;14526:c__Gammaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
281909	"g__Mucilaginibacter"	153	1.0	2.06	0.0227	0.0	50.67	0.9887	0.45	0.454	3460	0.002	228	"281909:g__Mucilaginibacter:genus;235547:f__Sphingobacteriaceae:family;235546:o__Sphingobacteriales:order;173791:c__Bacteroidia:class;173790:p__Bacteroidota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
101057	"o__Mycobacteriales"	136	1.0	2.35	0.0	0.0	56.8	0.9819	0.658	0.66	3915	0.001	446	"101057:o__Mycobacteriales:order;101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
63358	"c__Bacilli"	129	0.99	2.21	0.0093	0.0065	51.48	0.9853	0.398	0.391	3052	0	729	"63358:c__Bacilli:class;63357:p__Bacillota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
