TaxNodeID	TaxName	TotalReads	Duplicity	MeanDust	Damage+1	Damage-1	MeanLength	ANI	AvgReadGC	AvgRefGC	UniqueKmers	RatioDupKmers	TotalAlignments	PMDsover2	PMDSover4	taxpath
297870	"p__Atribacterota"	33919	1.317	2.72	0.1349	0.0746	64.57	0.9707	0.358	0.358	941764	0.241	83772	0.243	0.067	"297870:p__Atribacterota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
297872	"o__SB-45"	33916	1.317	2.72	0.1349	0.0746	64.57	0.9707	0.358	0.358	941728	0.241	83751	0.243	0.067	"297872:o__SB-45:order;297871:c__JS1:class;297870:p__Atribacterota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
297871	"c__JS1"	33916	1.317	2.72	0.1349	0.0746	64.57	0.9707	0.358	0.358	941728	0.241	83751	0.243	0.067	"297871:c__JS1:class;297870:p__Atribacterota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
297873	"f__34-128"	33749	1.319	2.72	0.1349	0.0747	64.59	0.9707	0.358	0.358	936648	0.242	83202	0.243	0.067	"297873:f__34-128:family;297872:o__SB-45:order;297871:c__JS1:class;297870:p__Atribacterota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
343024	"g__34-128"	30212	1.316	2.73	0.138	0.0756	64.85	0.9705	0.357	0.357	846194	0.24	74868	0.248	0.068	"343024:g__34-128:genus;297873:f__34-128:family;297872:o__SB-45:order;297871:c__JS1:class;297870:p__Atribacterota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
333235	"c__UBA8468"	28040	1.595	2.08	0.1534	0.0741	61.64	0.9657	0.519	0.527	591226	0.373	28438	0.277	0.081	"333235:c__UBA8468:class;333234:p__Ratteibacteria:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
333234	"p__Ratteibacteria"	28040	1.595	2.08	0.1534	0.0741	61.64	0.9657	0.519	0.527	591226	0.373	28438	0.277	0.081	"333234:p__Ratteibacteria:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
382554	"f__MWAK01"	27957	1.597	2.08	0.1536	0.0742	61.67	0.9657	0.52	0.527	589367	0.374	28319	0.277	0.081	"382554:f__MWAK01:family;382553:o__MWAK01:order;333235:c__UBA8468:class;333234:p__Ratteibacteria:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
382553	"o__MWAK01"	27957	1.597	2.08	0.1536	0.0742	61.67	0.9657	0.52	0.527	589367	0.374	28319	0.277	0.081	"382553:o__MWAK01:order;333235:c__UBA8468:class;333234:p__Ratteibacteria:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
455751	"GB_GCA_018829455.1"	27838	1.596	2.08	0.153	0.0741	61.68	0.9657	0.519	0.527	587553	0.373	28126	0.277	0.081	"455751:GB_GCA_018829455.1:subspecies;455750:s__JAHJUB01 sp018829455:species;455749:g__JAHJUB01:genus;382554:f__MWAK01:family;382553:o__MWAK01:order;333235:c__UBA8468:class;333234:p__Ratteibacteria:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
455750	"s__JAHJUB01 sp018829455"	27838	1.596	2.08	0.153	0.0741	61.68	0.9657	0.519	0.527	587553	0.373	28126	0.277	0.081	"455750:s__JAHJUB01 sp018829455:species;455749:g__JAHJUB01:genus;382554:f__MWAK01:family;382553:o__MWAK01:order;333235:c__UBA8468:class;333234:p__Ratteibacteria:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
455749	"g__JAHJUB01"	27838	1.596	2.08	0.153	0.0741	61.68	0.9657	0.519	0.527	587553	0.373	28126	0.277	0.081	"455749:g__JAHJUB01:genus;382554:f__MWAK01:family;382553:o__MWAK01:order;333235:c__UBA8468:class;333234:p__Ratteibacteria:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
191257	"p__Verrucomicrobiota"	16065	1.104	2.04	0.1028	0.06	54.95	0.968	0.584	0.586	392214	0.094	20855	0.171	0.035	"191257:p__Verrucomicrobiota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
257391	"c__Kiritimatiellia"	15782	1.108	2.04	0.1033	0.0603	55.15	0.9681	0.585	0.586	386777	0.097	20481	0.172	0.035	"257391:c__Kiritimatiellia:class;191257:p__Verrucomicrobiota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
313937	"o__JAAZAB01"	15444	1.11	2.04	0.1037	0.0603	55.4	0.9681	0.584	0.586	381146	0.099	19826	0.173	0.036	"313937:o__JAAZAB01:order;257391:c__Kiritimatiellia:class;191257:p__Verrucomicrobiota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
313938	"f__VSJD01"	15382	1.109	2.04	0.1037	0.0604	55.41	0.9681	0.584	0.586	380058	0.099	19720	0.172	0.036	"313938:f__VSJD01:family;313937:o__JAAZAB01:order;257391:c__Kiritimatiellia:class;191257:p__Verrucomicrobiota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
315311	"g__VSJD01"	14782	1.107	2.04	0.1038	0.06	55.5	0.9682	0.585	0.586	367309	0.097	18906	0.172	0.036	"315311:g__VSJD01:genus;313938:f__VSJD01:family;313937:o__JAAZAB01:order;257391:c__Kiritimatiellia:class;191257:p__Verrucomicrobiota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
3	"p__Halobacteriota"	13675	1.251	2.15	0.1329	0.0778	55.11	0.9677	0.436	0.435	296275	0.201	20682	0.211	0.048	"3:p__Halobacteriota:phylum;2:d__Archaea:superkingdom;1:root:no rank"
257589	"p__Nitrospirota"	13268	1.196	2.19	0.1284	0.0538	60.02	0.97	0.421	0.422	355306	0.164	19502	0.205	0.053	"257589:p__Nitrospirota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
4	"c__Methanosarcinia"	13125	1.257	2.16	0.1331	0.0778	55.17	0.9677	0.435	0.434	283744	0.204	19909	0.211	0.049	"4:c__Methanosarcinia:class;3:p__Halobacteriota:phylum;2:d__Archaea:superkingdom;1:root:no rank"
5	"o__Methanosarcinales"	13117	1.257	2.16	0.1332	0.0778	55.18	0.9677	0.435	0.434	283547	0.205	19901	0.211	0.049	"5:o__Methanosarcinales:order;4:c__Methanosarcinia:class;3:p__Halobacteriota:phylum;2:d__Archaea:superkingdom;1:root:no rank"
276730	"c__Thermodesulfovibrionia"	12990	1.199	2.19	0.1292	0.0538	60.25	0.9701	0.42	0.421	349501	0.166	19126	0.206	0.053	"276730:c__Thermodesulfovibrionia:class;257589:p__Nitrospirota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
2469	"f__Methanoperedenaceae"	12674	1.254	2.16	0.1332	0.0774	55.32	0.9679	0.435	0.434	276068	0.203	18654	0.211	0.049	"2469:f__Methanoperedenaceae:family;5:o__Methanosarcinales:order;4:c__Methanosarcinia:class;3:p__Halobacteriota:phylum;2:d__Archaea:superkingdom;1:root:no rank"
276731	"o__Thermodesulfovibrionales"	12357	1.199	2.19	0.1283	0.0541	60.69	0.9703	0.419	0.42	336927	0.166	17477	0.206	0.053	"276731:o__Thermodesulfovibrionales:order;276730:c__Thermodesulfovibrionia:class;257589:p__Nitrospirota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
2470	"g__Methanoperedens"	12331	1.246	2.16	0.1322	0.0788	55.36	0.9679	0.435	0.433	270634	0.198	17307	0.211	0.049	"2470:g__Methanoperedens:genus;2469:f__Methanoperedenaceae:family;5:o__Methanosarcinales:order;4:c__Methanosarcinia:class;3:p__Halobacteriota:phylum;2:d__Archaea:superkingdom;1:root:no rank"
238248	"p__Desulfobacterota"	11338	1.058	2.07	0.1175	0.0591	56.04	0.9671	0.526	0.532	300633	0.055	22147	0.195	0.048	"238248:p__Desulfobacterota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
296385	"f__SM23-35"	8601	1.161	2.21	0.1213	0.057	62.04	0.9714	0.413	0.414	252129	0.139	11346	0.208	0.056	"296385:f__SM23-35:family;276731:o__Thermodesulfovibrionales:order;276730:c__Thermodesulfovibrionia:class;257589:p__Nitrospirota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
268504	"p__Nitrospinota"	6273	1.84	2.18	0.1406	0.0934	67.75	0.965	0.445	0.449	135524	0.457	6396	0.277	0.082	"268504:p__Nitrospinota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
303469	"c__UBA9942"	6235	1.843	2.18	0.1397	0.0942	67.8	0.965	0.444	0.449	134643	0.457	6328	0.277	0.082	"303469:c__UBA9942:class;268504:p__Nitrospinota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
101055	"p__Actinomycetota"	6208	1.178	2.56	0.0849	0.0544	58.72	0.9715	0.484	0.483	161959	0.151	8127	0.178	0.045	"101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
509640	"GB_GCA_018830405.1"	6173	1.85	2.18	0.1398	0.0944	67.95	0.965	0.445	0.45	133306	0.459	6253	0.279	0.082	"509640:GB_GCA_018830405.1:subspecies;509639:s__JAHJSF01 sp018830405:species;509638:g__JAHJSF01:genus;509637:f__JAHJSF01:family;509636:o__JAHJSF01:order;303469:c__UBA9942:class;268504:p__Nitrospinota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
509639	"s__JAHJSF01 sp018830405"	6173	1.85	2.18	0.1398	0.0944	67.95	0.965	0.445	0.45	133306	0.459	6253	0.279	0.082	"509639:s__JAHJSF01 sp018830405:species;509638:g__JAHJSF01:genus;509637:f__JAHJSF01:family;509636:o__JAHJSF01:order;303469:c__UBA9942:class;268504:p__Nitrospinota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
509638	"g__JAHJSF01"	6173	1.85	2.18	0.1398	0.0944	67.95	0.965	0.445	0.45	133306	0.459	6253	0.279	0.082	"509638:g__JAHJSF01:genus;509637:f__JAHJSF01:family;509636:o__JAHJSF01:order;303469:c__UBA9942:class;268504:p__Nitrospinota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
509637	"f__JAHJSF01"	6173	1.85	2.18	0.1398	0.0944	67.95	0.965	0.445	0.45	133306	0.459	6253	0.279	0.082	"509637:f__JAHJSF01:family;509636:o__JAHJSF01:order;303469:c__UBA9942:class;268504:p__Nitrospinota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
509636	"o__JAHJSF01"	6173	1.85	2.18	0.1398	0.0944	67.95	0.965	0.445	0.45	133306	0.459	6253	0.279	0.082	"509636:o__JAHJSF01:order;303469:c__UBA9942:class;268504:p__Nitrospinota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
315316	"GB_GCA_008636095.1"	5588	1.071	2.03	0.1094	0.0636	55.07	0.9672	0.581	0.581	141202	0.066	5640	0.178	0.038	"315316:GB_GCA_008636095.1:subspecies;315312:s__VSJD01 sp008636095:species;315311:g__VSJD01:genus;313938:f__VSJD01:family;313937:o__JAAZAB01:order;257391:c__Kiritimatiellia:class;191257:p__Verrucomicrobiota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
315312	"s__VSJD01 sp008636095"	5588	1.071	2.03	0.1094	0.0636	55.07	0.9672	0.581	0.581	141202	0.066	5640	0.178	0.038	"315312:s__VSJD01 sp008636095:species;315311:g__VSJD01:genus;313938:f__VSJD01:family;313937:o__JAAZAB01:order;257391:c__Kiritimatiellia:class;191257:p__Verrucomicrobiota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
252024	"p__Chloroflexota"	5541	1.059	1.97	0.1103	0.0672	49.95	0.9674	0.546	0.546	114883	0.055	8242	0.17	0.033	"252024:p__Chloroflexota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
249843	"p__Patescibacteria"	5277	1.156	2.47	0.0975	0.0604	52.23	0.9663	0.424	0.427	110672	0.135	10700	0.198	0.04	"249843:p__Patescibacteria:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
439003	"g__VGWY01"	5176	1.11	2.21	0.1097	0.0611	63.54	0.9735	0.412	0.414	165701	0.099	7174	0.202	0.056	"439003:g__VGWY01:genus;296385:f__SM23-35:family;276731:o__Thermodesulfovibrionales:order;276730:c__Thermodesulfovibrionia:class;257589:p__Nitrospirota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
330478	"GB_GCA_018896395.1"	5023	1.075	2.05	0.117	0.0683	57.52	0.967	0.589	0.594	137904	0.07	5043	0.199	0.046	"330478:GB_GCA_018896395.1:subspecies;330475:s__VSJD01 sp018896395:species;315311:g__VSJD01:genus;313938:f__VSJD01:family;313937:o__JAAZAB01:order;257391:c__Kiritimatiellia:class;191257:p__Verrucomicrobiota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
330475	"s__VSJD01 sp018896395"	5023	1.075	2.05	0.117	0.0683	57.52	0.967	0.589	0.594	137904	0.07	5043	0.199	0.046	"330475:s__VSJD01 sp018896395:species;315311:g__VSJD01:genus;313938:f__VSJD01:family;313937:o__JAAZAB01:order;257391:c__Kiritimatiellia:class;191257:p__Verrucomicrobiota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
14525	"p__Pseudomonadota"	4611	1.001	2.4	0.0402	0.0157	53.93	0.9784	0.608	0.617	119486	0.001	5501	0.095	0.011	"14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
249844	"c__Paceibacteria"	3514	1.188	2.47	0.0894	0.0615	52.69	0.9665	0.424	0.427	73029	0.158	7901	0.19	0.039	"249844:c__Paceibacteria:class;249843:p__Patescibacteria:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
8795	"GB_GCA_023249275.1"	3409	1.24	2.15	0.138	0.0811	56.68	0.9692	0.435	0.437	78852	0.193	3639	0.226	0.056	"8795:GB_GCA_023249275.1:subspecies;8794:s__Methanoperedens sp023249275:species;2470:g__Methanoperedens:genus;2469:f__Methanoperedenaceae:family;5:o__Methanosarcinales:order;4:c__Methanosarcinia:class;3:p__Halobacteriota:phylum;2:d__Archaea:superkingdom;1:root:no rank"
8794	"s__Methanoperedens sp023249275"	3409	1.24	2.15	0.138	0.0811	56.68	0.9692	0.435	0.437	78852	0.193	3639	0.226	0.056	"8794:s__Methanoperedens sp023249275:species;2470:g__Methanoperedens:genus;2469:f__Methanoperedenaceae:family;5:o__Methanosarcinales:order;4:c__Methanosarcinia:class;3:p__Halobacteriota:phylum;2:d__Archaea:superkingdom;1:root:no rank"
314933	"c__Humimicrobiia"	3324	1.329	2.71	0.1378	0.0826	60.78	0.9681	0.362	0.365	81964	0.248	4205	0.249	0.065	"314933:c__Humimicrobiia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
14526	"c__Gammaproteobacteria"	3265	0.997	2.39	0.0363	0.0126	54.09	0.9783	0.601	0.609	85452	0	4058	0.1	0.011	"14526:c__Gammaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
314935	"f__Humimicrobiaceae"	3235	1.331	2.72	0.1401	0.0829	60.85	0.9682	0.362	0.364	79845	0.249	4086	0.25	0.065	"314935:f__Humimicrobiaceae:family;314934:o__Humimicrobiales:order;314933:c__Humimicrobiia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
314934	"o__Humimicrobiales"	3235	1.331	2.72	0.1401	0.0829	60.85	0.9682	0.362	0.364	79845	0.249	4086	0.25	0.065	"314934:o__Humimicrobiales:order;314933:c__Humimicrobiia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
481586	"GB_GCA_014894735.1"	3169	1.186	2.77	0.1831	0.1004	67.13	0.9702	0.358	0.361	104595	0.157	3173	0.285	0.093	"481586:GB_GCA_014894735.1:subspecies;481585:s__34-128 sp014894735:species;343024:g__34-128:genus;297873:f__34-128:family;297872:o__SB-45:order;297871:c__JS1:class;297870:p__Atribacterota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
481585	"s__34-128 sp014894735"	3169	1.186	2.77	0.1831	0.1004	67.13	0.9702	0.358	0.361	104595	0.157	3173	0.285	0.093	"481585:s__34-128 sp014894735:species;343024:g__34-128:genus;297873:f__34-128:family;297872:o__SB-45:order;297871:c__JS1:class;297870:p__Atribacterota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
253498	"c__Anaerolineae"	3061	1.044	2.03	0.1113	0.0784	48.38	0.9683	0.571	0.575	59765	0.042	4233	0.168	0.03	"253498:c__Anaerolineae:class;252024:p__Chloroflexota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
238250	"o__Desulfobulbales"	2847	1.063	2.01	0.119	0.048	51.91	0.9649	0.551	0.56	64026	0.06	8019	0.2	0.051	"238250:o__Desulfobulbales:order;238249:c__Desulfobulbia:class;238248:p__Desulfobacterota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
238249	"c__Desulfobulbia"	2847	1.063	2.01	0.119	0.048	51.91	0.9649	0.551	0.56	64026	0.06	8019	0.2	0.051	"238249:c__Desulfobulbia:class;238248:p__Desulfobacterota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
253499	"o__Anaerolineales"	2796	1.044	2.02	0.1171	0.0808	48.72	0.9686	0.571	0.574	55475	0.043	3933	0.169	0.03	"253499:o__Anaerolineales:order;253498:c__Anaerolineae:class;252024:p__Chloroflexota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
284430	"f__UBA1546"	2709	1.347	2.17	0.15	0.0527	59.04	0.9685	0.426	0.429	62427	0.258	3476	0.204	0.049	"284430:f__UBA1546:family;276731:o__Thermodesulfovibrionales:order;276730:c__Thermodesulfovibrionia:class;257589:p__Nitrospirota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
382977	"GB_GCA_018903015.1"	2643	1.162	2.76	0.1551	0.1064	67.65	0.9696	0.358	0.359	90147	0.14	2684	0.282	0.082	"382977:GB_GCA_018903015.1:subspecies;382976:s__34-128 sp018903015:species;343024:g__34-128:genus;297873:f__34-128:family;297872:o__SB-45:order;297871:c__JS1:class;297870:p__Atribacterota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
