TaxNodeID	TaxName	TotalReads	Duplicity	MeanDust	Damage+1	Damage-1	MeanLength	ANI	AvgReadGC	AvgRefGC	UniqueKmers	RatioDupKmers	TotalAlignments	PMDsover2	PMDSover4	taxpath
222536	"p__Cyanobacteriota"	115941	1.695	2.41	0.0251	0.0183	98.93	0.9742	0.42	0.419	4852263	0.41	118756	0.156	0.044	"222536:p__Cyanobacteriota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
222537	"c__Cyanobacteriia"	115898	1.695	2.41	0.0251	0.0183	98.94	0.9742	0.42	0.419	4851610	0.41	118696	0.156	0.044	"222537:c__Cyanobacteriia:class;222536:p__Cyanobacteriota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
224374	"o__Cyanobacteriales"	115592	1.694	2.41	0.0251	0.0183	98.99	0.9742	0.42	0.419	4842707	0.41	118321	0.156	0.044	"224374:o__Cyanobacteriales:order;222537:c__Cyanobacteriia:class;222536:p__Cyanobacteriota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
291736	"f__Chroococcidiopsidaceae"	113683	1.692	2.41	0.0248	0.0181	99.01	0.9744	0.419	0.418	4770334	0.409	115450	0.154	0.043	"291736:f__Chroococcidiopsidaceae:family;224374:o__Cyanobacteriales:order;222537:c__Cyanobacteriia:class;222536:p__Cyanobacteriota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
402235	"g__Aliterella"	113594	1.692	2.41	0.0248	0.0181	99.02	0.9744	0.419	0.418	4767022	0.409	115351	0.154	0.043	"402235:g__Aliterella:genus;291736:f__Chroococcidiopsidaceae:family;224374:o__Cyanobacteriales:order;222537:c__Cyanobacteriia:class;222536:p__Cyanobacteriota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
101055	"p__Actinomycetota"	72308	1.063	2.52	0.0487	0.0209	66.67	0.9715	0.67	0.676	2631292	0.059	89416	0.176	0.056	"101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
410082	"RS_GCF_003003885.1"	60586	1.615	2.41	0.0216	0.0146	98.68	0.9777	0.418	0.418	2650774	0.381	61371	0.134	0.036	"410082:RS_GCF_003003885.1:subspecies;410081:s__Aliterella sp003003885:species;402235:g__Aliterella:genus;291736:f__Chroococcidiopsidaceae:family;224374:o__Cyanobacteriales:order;222537:c__Cyanobacteriia:class;222536:p__Cyanobacteriota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
410081	"s__Aliterella sp003003885"	60586	1.615	2.41	0.0216	0.0146	98.68	0.9777	0.418	0.418	2650774	0.381	61371	0.134	0.036	"410081:s__Aliterella sp003003885:species;402235:g__Aliterella:genus;291736:f__Chroococcidiopsidaceae:family;224374:o__Cyanobacteriales:order;222537:c__Cyanobacteriia:class;222536:p__Cyanobacteriota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
242817	"c__Thermoleophilia"	30903	1.109	2.59	0.046	0.0207	65.11	0.9679	0.676	0.682	1034113	0.098	39765	0.17	0.049	"242817:c__Thermoleophilia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
14525	"p__Pseudomonadota"	29125	1.047	2.37	0.0835	0.0372	65.48	0.9668	0.619	0.63	1042979	0.044	39624	0.237	0.079	"14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
