TaxNodeID	TaxName	TotalReads	Duplicity	MeanDust	Damage+1	Damage-1	MeanLength	ANI	AvgReadGC	AvgRefGC	UniqueKmers	RatioDupKmers	TotalAlignments	PMDsover2	PMDSover4	taxpath
14525	"p__Pseudomonadota"	4487	1.025	2.32	0.0188	0.0072	59.98	0.979	0.601	0.601	139928	0.025	5360	0.068	0.009	"14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
14526	"c__Gammaproteobacteria"	2444	1.036	2.26	0.0187	0.0098	64.21	0.9837	0.562	0.564	85407	0.035	3192	0.071	0.011	"14526:c__Gammaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
159315	"c__Alphaproteobacteria"	2041	1.01	2.38	0.0189	0.0045	54.93	0.9734	0.648	0.652	54402	0.01	2165	0.065	0.006	"159315:c__Alphaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
137197	"o__Burkholderiales"	1765	1.043	2.19	0.0164	0.0085	67.04	0.9855	0.572	0.569	66071	0.041	2388	0.059	0.009	"137197:o__Burkholderiales:order;14526:c__Gammaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
101055	"p__Actinomycetota"	1354	1.028	2.54	0.0117	0.007	57.28	0.9775	0.645	0.648	38582	0.027	1603	0.068	0.009	"101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
147451	"f__Burkholderiaceae"	1198	1.044	2.12	0.0109	0.0036	72.34	0.9904	0.55	0.549	50867	0.043	1636	0.043	0.01	"147451:f__Burkholderiaceae:family;137197:o__Burkholderiales:order;14526:c__Gammaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
161314	"o__Rhizobiales"	1175	1.0	2.33	0.0192	0.0078	53.93	0.9718	0.645	0.65	30462	0.0	1249	0.069	0.006	"161314:o__Rhizobiales:order;159315:c__Alphaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
101056	"c__Actinomycetia"	1167	1.026	2.55	0.0073	0.008	58.72	0.9791	0.647	0.649	34925	0.026	1328	0.058	0.007	"101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
324209	"g__Herminiimonas"	1023	1.05	2.06	0.0103	0.0042	74.47	0.9928	0.538	0.539	45276	0.048	1410	0.039	0.01	"324209:g__Herminiimonas:genus;147451:f__Burkholderiaceae:family;137197:o__Burkholderiales:order;14526:c__Gammaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
324212	"RS_GCF_015645465.1"	772	1.056	2.07	0.0132	0.0	76.44	0.9961	0.544	0.544	35395	0.053	774	0.026	0.009	"324212:RS_GCF_015645465.1:subspecies;324210:s__Herminiimonas contaminans:species;324209:g__Herminiimonas:genus;147451:f__Burkholderiaceae:family;137197:o__Burkholderiales:order;14526:c__Gammaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
