TaxNodeID	TaxName	TotalReads	Duplicity	MeanDust	Damage+1	Damage-1	MeanLength	ANI	AvgReadGC	AvgRefGC	UniqueKmers	RatioDupKmers	TotalAlignments	PMDsover2	PMDSover4	taxpath
101055	"p__Actinomycetota"	110505	1.116	2.27	0.0165	0.0078	57.2	0.9796	0.648	0.65	2891343	0.104	123302	0.077	0.013	"101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
101056	"c__Actinomycetia"	50821	1.077	2.21	0.0145	0.0067	55.98	0.9848	0.653	0.656	1319625	0.072	53338	0.064	0.012	"101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
332085	"f__Rubrobacteraceae"	49046	1.181	2.31	0.0189	0.009	60.11	0.9772	0.637	0.639	1333091	0.154	56102	0.093	0.016	"332085:f__Rubrobacteraceae:family;332084:o__Rubrobacterales:order;332083:c__Rubrobacteria:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
332084	"o__Rubrobacterales"	49046	1.181	2.31	0.0189	0.009	60.11	0.9772	0.637	0.639	1333091	0.154	56102	0.093	0.016	"332084:o__Rubrobacterales:order;332083:c__Rubrobacteria:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
332083	"c__Rubrobacteria"	49046	1.181	2.31	0.0189	0.009	60.11	0.9772	0.637	0.639	1333091	0.154	56102	0.093	0.016	"332083:c__Rubrobacteria:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
479905	"GB_GCA_013817025.1"	29025	1.259	2.32	0.0192	0.0091	64.43	0.9811	0.628	0.631	840050	0.205	29261	0.094	0.017	"479905:GB_GCA_013817025.1:subspecies;479904:s__JACDDK01 sp013817025:species;479903:g__JACDDK01:genus;332085:f__Rubrobacteraceae:family;332084:o__Rubrobacterales:order;332083:c__Rubrobacteria:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
479904	"s__JACDDK01 sp013817025"	29025	1.259	2.32	0.0192	0.0091	64.43	0.9811	0.628	0.631	840050	0.205	29261	0.094	0.017	"479904:s__JACDDK01 sp013817025:species;479903:g__JACDDK01:genus;332085:f__Rubrobacteraceae:family;332084:o__Rubrobacterales:order;332083:c__Rubrobacteria:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
479903	"g__JACDDK01"	29025	1.259	2.32	0.0192	0.0091	64.43	0.9811	0.628	0.631	840050	0.205	29261	0.094	0.017	"479903:g__JACDDK01:genus;332085:f__Rubrobacteraceae:family;332084:o__Rubrobacterales:order;332083:c__Rubrobacteria:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
177040	"o__Propionibacteriales"	28419	1.092	2.15	0.0091	0.0053	56.36	0.9882	0.644	0.647	737870	0.085	29034	0.045	0.007	"177040:o__Propionibacteriales:order;101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
270462	"f__Nocardioidaceae"	28161	1.092	2.14	0.0091	0.0052	56.44	0.9884	0.644	0.646	733591	0.084	28705	0.044	0.007	"270462:f__Nocardioidaceae:family;177040:o__Propionibacteriales:order;101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
